1890,2,ОВД г. Уральска,ст.189 ч.1,11/12/18 18:00,МАЖИТА ЖУНИСОВА,104,-726897.1842,5821690.308
1880,2,УВД района Есиль,ст.188 ч.2,12/10/18 8:08,ИМАНТАУ,14,667868.8235,5669198.2
1880,2,Енбекшиказахский район МВД,ст.188 ч.1,12/10/18 21:23,МАЛИНОВАЯ,11,1182281.44,4840185.854
2930,3,г.Костанай МВД,ст.293 ч.3,12/10/18 5:30,ТӘУЕЛСІЗДІК,1,142605.5597,5908906.966
1880,2,г. Павлодар Северный отдел внутренних дел,ст.188 ч.1,12/9/18 11:00,МИРА,1-May,1040248.742,5824143.8
1890,2,г.Тараз МВД Заводской район (ОП-1),ст.189 ч.1,12/10/18 14:00,АЛАТАУ,12,691405.057,4750069.196
1880,2,Илийский район МВД,ст.188 ч.1,12/10/18 22:00,СПАТАЙ БАТЫРА,50,1136637.716,4832985.815
1880,2,Илийский район МВД,ст.188 ч.1,12/10/18 11:00,4-ЛИНИЯ,165,1132387.837,4843325.356
1880,2,г.Темиртау Восточный ОП,ст.188 ч.1,12/10/18 15:00,РЕСПУБЛИКИ,1,783368.2078,5553488.604
1880,2,РОП Алмалинского района,ст.188 ч.1,12/10/18 1:56,Гайдара,50,1140062.37,4819172.1
1880,2,Абайский ОП УВД г.Уральск,ст.188 ч.2,12/10/18 8:00,Т.МАСИНА,37/4,-727829.5755,5822440.845
1880,2,г.Петропавловск ГОП № 2,ст.188 ч.1,12/8/18 15:00,ИМ.ПАНФИЛОВА,42,510110.5241,6077708.927
1880,2,ОВД Аль-Фарабийского района,ст.188 ч.1,12/9/18 17:00,null,null,546738.1172,4675168.707
2930,1,Центральный район г.Семипалатинск МВД,ст.293 ч.1,12/10/18 15:00,ШАКАРИМА,15,1298101.463,5644822.375
1880,2,"РОП УВД района ""Есиль"" г.Астана",ст.188 ч.2,12/11/18 21:51,ҚАБАНБАЙ БАТЫР,33Т,668547.824,5665851.176
1880,2,Сандыктауского района РОВД,ст.188 ч.1,11/22/18 13:00,null,10,484085.6836,5819778.215
1880,3,ДВД города Алматы,ст.188 ч.4,8/28/18 0:00,Сатпаева,71/152,1140887.32,4817177.928
990,4,Мугалжарский район МВД,ст.99 ч.1,12/10/18 6:00,АСТАНА,25,-322377.4396,5518408.263
1910,3,РУВД Алатауского района,ст.191 ч.2,6/17/18 0:30,Райымбека,395А,1138134.133,4819141.336
1880,3,Айтекебийский район МВД,ст.188 ч.4,11/14/18 15:00,null,null,-93901.7611,5624987.425
1880,2,4 отдел полиции Каратауского района УВД г.Шымкента,ст.188 ч.1,12/10/18 10:00,null,null,544049.4714,4699461.543
2930,1,ОВД Абайского района,ст.293 ч.1,12/10/18 10:00,null,null,545495.0359,4689391.398
1880,2,г.Жезказган МВД,ст.188 ч.2,12/10/18 14:15,ГАЗИЗА ОМАРОВА,18,403463.6845,5293970.67
1070,1,р-н им.Казыбек би г.Караганды Михайловский  ОП,ст.107 ч.1,12/9/18 20:00,ЕРЖАНОВА,35,793629.8405,5523826.676
2930,2,ОВД Енбекшинского района,ст.293 ч.2,12/10/18 10:00,null,null,552604.6485,4685706.807
1910,2,РУВД Алатауского района,ст.191 ч.1,3/21/18 23:00,Райымбека,485,1136424.679,4818272.764
